ikan,lat,lon,skor,kedalaman,gelombang,geometry
Tongkol (Euthynus affinis),-7.75,106.25,0.28592509031295776,0.0,0.0,POINT (106.25 -7.75)
Tongkol (Euthynus affinis),-7.75,106.5,0.3497488498687744,0.0,0.0,POINT (106.5 -7.75)
Tongkol (Euthynus affinis),-7.75,106.75,0.3963181972503662,0.0,0.0,POINT (106.75 -7.75)
Tongkol (Euthynus affinis),-7.75,107.0,0.43416476249694824,0.0,0.0,POINT (107 -7.75)
Tongkol (Euthynus affinis),-7.75,107.25,0.5015097856521606,0.0,0.0,POINT (107.25 -7.75)
Tongkol (Euthynus affinis),-7.75,107.5,0.5670624375343323,0.0,0.0,POINT (107.5 -7.75)
Tongkol (Euthynus affinis),-7.75,107.75,0.6269328594207764,0.0,0.0,POINT (107.75 -7.75)
Tongkol (Euthynus affinis),-7.75,113.25,0.36776843667030334,0.0,0.0,POINT (113.25 -7.75)
Tongkol (Euthynus affinis),-7.75,113.5,0.3476030230522156,0.0,0.0,POINT (113.5 -7.75)
Tongkol (Euthynus affinis),-7.75,113.75,0.2966379225254059,0.0,0.0,POINT (113.75 -7.75)
Tongkol (Euthynus affinis),-7.5,106.25,0.3285374045372009,0.0,0.0,POINT (106.25 -7.5)
Tongkol (Euthynus affinis),-7.5,106.5,0.38188400864601135,0.0,0.0,POINT (106.5 -7.5)
Tongkol (Euthynus affinis),-7.5,106.75,0.42218953371047974,0.0,0.0,POINT (106.75 -7.5)
Tongkol (Euthynus affinis),-7.5,113.0,0.483418345451355,0.0,0.0,POINT (113 -7.5)
Tongkol (Euthynus affinis),-7.5,113.25,0.4299689531326294,0.0,0.0,POINT (113.25 -7.5)
Tongkol (Euthynus affinis),-7.5,113.5,0.3815125524997711,0.0,0.0,POINT (113.5 -7.5)
Tongkol (Euthynus affinis),-7.25,106.25,0.35955750942230225,0.0,0.0,POINT (106.25 -7.25)
Tongkol (Euthynus affinis),-7.25,113.5,0.43261343240737915,0.0,0.0,POINT (113.5 -7.25)
