ikan,lat,lon,skor,kedalaman,gelombang,geometry
Tongkol (Euthynus affinis),-7.75,106.25,0.4323493986683504,0.0,0.0,POINT (106.25 -7.75)
Tongkol (Euthynus affinis),-7.75,106.5,0.5003513063581121,0.0,0.0,POINT (106.5 -7.75)
Tongkol (Euthynus affinis),-7.75,106.75,0.58101414512017,0.0,0.0,POINT (106.75 -7.75)
Tongkol (Euthynus affinis),-7.75,107.0,0.6760428829943191,0.0,0.0,POINT (107 -7.75)
Tongkol (Euthynus affinis),-7.75,107.25,0.814314143491808,0.0,0.0,POINT (107.25 -7.75)
Tongkol (Euthynus affinis),-7.75,107.5,0.7696633469516176,0.0,0.0,POINT (107.5 -7.75)
Tongkol (Euthynus affinis),-7.75,107.75,0.9931211451378514,0.0,0.0,POINT (107.75 -7.75)
Tongkol (Euthynus affinis),-7.75,113.25,0.5608745935320957,0.0,0.0,POINT (113.25 -7.75)
Tongkol (Euthynus affinis),-7.75,113.5,0.4651305491720974,0.0,0.0,POINT (113.5 -7.75)
Tongkol (Euthynus affinis),-7.75,113.75,0.3577906669450775,0.0,0.0,POINT (113.75 -7.75)
Tongkol (Euthynus affinis),-7.5,106.25,0.5176450335808976,0.0,0.0,POINT (106.25 -7.5)
Tongkol (Euthynus affinis),-7.5,106.5,0.6014840936660475,0.0,0.0,POINT (106.5 -7.5)
Tongkol (Euthynus affinis),-7.5,106.75,0.6922249541310199,0.0,0.0,POINT (106.75 -7.5)
Tongkol (Euthynus affinis),-7.5,113.0,0.7261186156084798,0.0,0.0,POINT (113 -7.5)
Tongkol (Euthynus affinis),-7.5,113.25,0.6930667941502605,0.0,0.0,POINT (113.25 -7.5)
Tongkol (Euthynus affinis),-7.5,113.5,0.6164940890641009,0.0,0.0,POINT (113.5 -7.5)
Tongkol (Euthynus affinis),-7.25,106.25,0.4468680499913264,0.0,0.0,POINT (106.25 -7.25)
Tongkol (Euthynus affinis),-7.25,113.5,0.575603482409776,0.0,0.0,POINT (113.5 -7.25)
Tongkol (Euthynus affinis),-7.0,106.0,0.4139418598241276,0.0,0.0,POINT (106 -7)
Tongkol (Euthynus affinis),-6.75,111.75,0.4075178170452342,0.0,0.0,POINT (111.75 -6.75)
Tongkol (Euthynus affinis),-6.5,110.5,0.38568789788807956,0.0,0.0,POINT (110.5 -6.5)
Tongkol (Euthynus affinis),-6.0,106.5,0.7693368123041248,0.0,0.0,POINT (106.5 -6)
